primaryPosition,Player ID,firstName,lastName,nationality,height_cm,weight,shootsCatches
Right Wing,8466148,Marian,Hossa,SVK,185.42,207.0,L
Defence,8465058,Michal,Rozsival,CZE,185.42,210.0,R
Defence,8476906,Shayne,Gostisbehere,USA,180.34,180.0,L
Defence,8466285,Brian,Campbell,CAN,177.8,192.0,L
Defence,8470607,Brent,Seabrook,CAN,190.5,220.0,R
Right Wing,8474668,Dale,Weise,CAN,187.96,206.0,R
Center,8473512,Claude,Giroux,CAN,180.34,185.0,R
Goalie,8470645,Corey,Crawford,CAN,187.96,216.0,L
Left Wing,8476994,Vinnie,Hinostroza,USA,175.26,173.0,R
Center,8475323,Marcus,Kruger,SWE,182.88,186.0,L
Defence,8473584,Andrew,MacDonald,CAN,185.42,204.0,L
Defence,8478055,Gustav,Forsling,SWE,182.88,186.0,L
Left Wing,8478550,Artemi,Panarin,RUS,180.34,168.0,R
Right Wing,8476177,Matt,Read,CAN,177.8,185.0,R
Goalie,8473461,Steve,Mason,CAN,193.04,210.0,R
Defence,8475462,Radko,Gudas,CZE,182.88,204.0,R
Center,8476393,Nick,Cousins,CAN,180.34,185.0,L
Defence,8479482,Michal,Kempny,CZE,182.88,194.0,L
Right Wing,8469547,Jordin,Tootoo,CAN,175.26,195.0,R
Right Wing,8474190,Wayne,Simmonds,CAN,187.96,185.0,R
Defence,8468513,Nick,Schultz,CAN,185.42,203.0,L
Goalie,8473607,Michal,Neuvirth,CZE,185.42,209.0,L
Defence,8471769,Niklas,Hjalmarsson,SWE,190.5,197.0,L
Center,8477929,Dennis,Rasmussen,SWE,190.5,192.0,L
Center,8471762,Chris,VandeVelde,USA,187.96,190.0,L
Right Wing,8475209,Richard,Panik,SVK,185.42,208.0,L
Center,8473604,Jonathan,Toews,CAN,187.96,201.0,L
Center,8478439,Travis,Konecny,CAN,177.8,175.0,R
Left Wing,8479648,Roman,Lyubimov,RUS,187.96,207.0,R
Center,8470159,Boyd,Gordon,CAN,182.88,200.0,R
Defence,8477845,Trevor,van Riemsdyk,USA,187.96,188.0,R
Defence,8478500,Ivan,Provorov,RUS,185.42,201.0,L
Defence,8475430,Brandon,Manning,CAN,185.42,205.0,L
Defence,8470281,Duncan,Keith,CAN,185.42,192.0,L
Right Wing,8474141,Patrick,Kane,USA,180.34,177.0,L
Left Wing,8477930,Pierre-Edouard,Bellemare,FRA,182.88,198.0,L
Right Wing,8474161,Jakub,Voracek,CZE,187.96,214.0,L
Center,8477951,Nick,Schmaltz,USA,182.88,177.0,R
Right Wing,8477451,Ryan,Hartman,USA,182.88,181.0,R
Center,8476461,Sean,Couturier,CAN,190.5,211.0,L
Center,8473573,Artem,Anisimov,RUS,193.04,198.0,L
Center,8477353,Tyler,Motte,USA,177.8,191.0,L
Center,8475170,Brayden,Schenn,CAN,185.42,200.0,L
Defence,8468309,Mark,Streit,CHE,180.34,186.0,L
Left Wing,8477290,Michael,Raffl,AUT,182.88,200.0,L
Right Wing,8476806,J.T.,Brown,USA,177.8,169.0,R
Left Wing,8471678,Benoit,Pouliot,CAN,190.5,200.0,L
Goalie,8475215,Robin,Lehner,SWE,193.04,245.0,L
Left Wing,8476866,Nicolas,Kerdiles,USA,187.96,200.0,L
